Time,Current,Voltage,Pressure,Power
1411695870.275692,0.000000e+00,3.450750e-01,2.580833e+02,0.000000e+00
1411695870.767840,1.000000e-11,3.950000e-01,2.586310e+02,9.875000e-13
1411695871.264207,2.000000e-11,4.050750e-01,2.591083e+02,2.025375e-12
1411695871.715008,3.000000e-11,4.113250e-01,2.587406e+02,3.084938e-12
1411695872.180235,4.000000e-11,4.175500e-01,2.597421e+02,4.175500e-12
1411695872.815308,5.000000e-11,4.151250e-01,2.589362e+02,5.189062e-12
1411695873.323877,6.000000e-11,4.198750e-01,2.573479e+02,6.298125e-12
1411695873.816498,7.000000e-11,4.177500e-01,2.566046e+02,7.310625e-12
1411695874.322236,8.000000e-11,4.184250e-01,2.543356e+02,8.368500e-12
1411695874.815655,9.000000e-11,4.202500e-01,2.556892e+02,9.455625e-12
1411695875.299688,1.000000e-10,4.222250e-01,2.561038e+02,1.055562e-11
1411695875.800740,1.100000e-10,4.256500e-01,2.574183e+02,1.170537e-11
1411695876.358522,1.200000e-10,4.278750e-01,2.582789e+02,1.283625e-11
1411695876.868065,1.300000e-10,4.296250e-01,2.586545e+02,1.396281e-11
1411695877.384631,1.400000e-10,4.318500e-01,2.601959e+02,1.511475e-11
1411695877.898602,1.500000e-10,4.313250e-01,2.592257e+02,1.617469e-11
1411695878.395770,1.600000e-10,4.312500e-01,2.584980e+02,1.725000e-11
1411695878.890192,1.700000e-10,4.311000e-01,2.586232e+02,1.832175e-11
1411695879.388448,1.800000e-10,4.309250e-01,2.594213e+02,1.939162e-11
1411695879.901378,1.900000e-10,4.298750e-01,2.597186e+02,2.041906e-11
1411695880.414491,2.000000e-10,4.317500e-01,2.587640e+02,2.158750e-11
1411695880.916842,2.100000e-10,4.315000e-01,2.598751e+02,2.265375e-11
1411695881.414182,2.200000e-10,4.343750e-01,2.596795e+02,2.389062e-11
1411695881.893061,2.300000e-10,4.348000e-01,2.596873e+02,2.500100e-11
1411695882.387778,2.400000e-10,4.342250e-01,2.585058e+02,2.605350e-11
1411695882.903633,2.500000e-10,4.343000e-01,2.597029e+02,2.714375e-11
1411695883.424586,2.600000e-10,4.341500e-01,2.590692e+02,2.821975e-11
1411695883.922227,2.700000e-10,4.349500e-01,2.592335e+02,2.935913e-11
1411695884.412374,2.800000e-10,4.358000e-01,2.588423e+02,3.050600e-11
1411695884.894832,2.900000e-10,4.357750e-01,2.593665e+02,3.159369e-11
1411695885.393282,3.000000e-10,4.355250e-01,2.593822e+02,3.266437e-11
1411695885.911102,3.100000e-10,4.356000e-01,2.592804e+02,3.375900e-11
1411695886.416847,3.200000e-10,4.353750e-01,2.594213e+02,3.483000e-11
1411695886.915121,3.300000e-10,4.362000e-01,2.593117e+02,3.598650e-11
1411695887.411738,3.400000e-10,4.347750e-01,2.585058e+02,3.695588e-11
1411695887.894610,3.500000e-10,4.362750e-01,2.591083e+02,3.817406e-11
1411695888.389655,3.600000e-10,4.347750e-01,2.580599e+02,3.912975e-11
1411695888.903885,3.700000e-10,4.355500e-01,2.581616e+02,4.028837e-11
1411695889.424680,3.800000e-10,4.352000e-01,2.572383e+02,4.134400e-11
1411695889.916620,3.900000e-10,4.356000e-01,2.579582e+02,4.247100e-11
1411695890.411746,4.000000e-10,4.364750e-01,2.583024e+02,4.364750e-11
1411695890.894869,4.100000e-10,4.362750e-01,2.596403e+02,4.471819e-11
1411695891.395376,4.200000e-10,4.368000e-01,2.590927e+02,4.586400e-11
1411695891.912250,4.300000e-10,4.369750e-01,2.588736e+02,4.697481e-11
1411695892.416062,4.400000e-10,4.371750e-01,2.597186e+02,4.808925e-11
1411695892.914462,4.500000e-10,4.374750e-01,2.590535e+02,4.921594e-11
1411695893.411738,4.600000e-10,4.376250e-01,2.595073e+02,5.032687e-11
1411695893.894044,4.700000e-10,4.378250e-01,2.587562e+02,5.144444e-11
1411695894.391337,4.800000e-10,4.356000e-01,2.594917e+02,5.227200e-11
1411695894.905982,4.900000e-10,4.372750e-01,2.590066e+02,5.356619e-11
1411695895.424757,5.000000e-10,4.368750e-01,2.587562e+02,5.460937e-11
1411695895.915493,5.100000e-10,4.371750e-01,2.585763e+02,5.573981e-11
1411695896.411742,5.200000e-10,4.345750e-01,2.587406e+02,5.649475e-11
1411695896.894575,5.300000e-10,4.338500e-01,2.583728e+02,5.748512e-11
1411695897.394274,5.400000e-10,4.340500e-01,2.595465e+02,5.859675e-11
1411695897.910703,5.500000e-10,4.337750e-01,2.594604e+02,5.964406e-11
1411695898.415636,5.600000e-10,4.336750e-01,2.583337e+02,6.071450e-11
1411695898.915501,5.700000e-10,4.337750e-01,2.594760e+02,6.181294e-11
1411695899.413230,5.800000e-10,4.339250e-01,2.593196e+02,6.291912e-11
1411695899.894668,5.900000e-10,4.346250e-01,2.590614e+02,6.410719e-11
1411695900.390003,6.000000e-10,4.348500e-01,2.596247e+02,6.522750e-11
1411695900.903403,6.100000e-10,4.346250e-01,2.584824e+02,6.628031e-11
1411695901.429916,6.200000e-10,4.352750e-01,2.588266e+02,6.746762e-11
1411695901.924732,6.300000e-10,4.353250e-01,2.584354e+02,6.856369e-11
1411695902.415785,6.400000e-10,4.351250e-01,2.589518e+02,6.962000e-11
1411695902.896073,6.500000e-10,4.342250e-01,2.593743e+02,7.056156e-11
1411695903.398862,6.600000e-10,4.351250e-01,2.588345e+02,7.179563e-11
1411695903.912714,6.700000e-10,4.341750e-01,2.584589e+02,7.272431e-11
1411695904.425497,6.800000e-10,4.344250e-01,2.582242e+02,7.385225e-11
1411695904.916715,6.900000e-10,4.356250e-01,2.588892e+02,7.514531e-11
1411695905.412621,7.000000e-10,4.363250e-01,2.601254e+02,7.635688e-11
1411695905.896068,7.100000e-10,4.367500e-01,2.592883e+02,7.752312e-11
1411695906.392708,7.200000e-10,4.369000e-01,2.590535e+02,7.864200e-11
1411695906.912618,7.300000e-10,4.369500e-01,2.589909e+02,7.974338e-11
1411695907.424443,7.400000e-10,4.368000e-01,2.587249e+02,8.080800e-11
1411695907.915561,7.500000e-10,4.372000e-01,2.588188e+02,8.197500e-11
1411695908.406433,7.600000e-10,4.370500e-01,2.588423e+02,8.303950e-11
1411695908.896242,7.700000e-10,4.374000e-01,2.587327e+02,8.419950e-11
1411695909.394683,7.800000e-10,4.373750e-01,2.590222e+02,8.528813e-11
1411695909.910789,7.900000e-10,4.377500e-01,2.589753e+02,8.645562e-11
1411695910.415266,8.000000e-10,4.375000e-01,2.583572e+02,8.750000e-11
1411695910.916473,8.100000e-10,4.378750e-01,2.589675e+02,8.866969e-11
1411695911.411750,8.200000e-10,4.382250e-01,2.596012e+02,8.983612e-11
1411695911.895180,8.300000e-10,4.379500e-01,2.586310e+02,9.087462e-11
1411695912.392365,8.400000e-10,4.386500e-01,2.591787e+02,9.211650e-11
1411695912.905313,8.500000e-10,4.396250e-01,2.582868e+02,9.342031e-11
1411695913.425171,8.600000e-10,4.406750e-01,2.589127e+02,9.474512e-11
1411695913.915609,8.700000e-10,4.400000e-01,2.587875e+02,9.570000e-11
1411695914.405405,8.800000e-10,4.400750e-01,2.587327e+02,9.681650e-11
1411695914.894905,8.900000e-10,4.398750e-01,2.583337e+02,9.787219e-11
1411695915.395551,9.000000e-10,4.400750e-01,2.583259e+02,9.901687e-11
1411695915.916001,9.100000e-10,4.385750e-01,2.593117e+02,9.977581e-11
1411695916.426198,9.200000e-10,4.383250e-01,2.580912e+02,1.008148e-10
1411695916.922240,9.300000e-10,4.380250e-01,2.577704e+02,1.018408e-10
1411695917.422272,9.400000e-10,4.368250e-01,2.575278e+02,1.026539e-10
1411695917.895007,9.500000e-10,4.382500e-01,2.580129e+02,1.040844e-10
1411695918.391890,9.600000e-10,4.365500e-01,2.568471e+02,1.047720e-10
1411695918.905679,9.700000e-10,4.379500e-01,2.574652e+02,1.062029e-10
1411695919.439136,9.800000e-10,4.377000e-01,2.576921e+02,1.072365e-10
1411695919.942984,9.900000e-10,4.384750e-01,2.578721e+02,1.085226e-10
1411695920.444675,1.000000e-09,4.388500e-01,2.588736e+02,1.097125e-10
1411695920.916685,1.010000e-09,4.385000e-01,2.591631e+02,1.107213e-10
1411695921.400837,1.020000e-09,4.393000e-01,2.579816e+02,1.120215e-10
1411695921.921678,1.030000e-09,4.386250e-01,2.576295e+02,1.129459e-10
1411695922.422238,1.040000e-09,4.389750e-01,2.581616e+02,1.141335e-10
1411695922.962992,1.050000e-09,4.388250e-01,2.576843e+02,1.151916e-10
1411695923.483101,1.060000e-09,4.390000e-01,2.580599e+02,1.163350e-10
1411695923.977646,1.070000e-09,4.388500e-01,2.576687e+02,1.173924e-10
1411695924.473272,1.080000e-09,4.391750e-01,2.580051e+02,1.185772e-10
1411695924.974083,1.090000e-09,4.388000e-01,2.576765e+02,1.195730e-10
1411695925.490977,1.100000e-09,4.387250e-01,2.579816e+02,1.206494e-10
1411695926.011740,1.110000e-09,4.382000e-01,2.575278e+02,1.216005e-10
1411695926.546231,1.120000e-09,4.257750e-01,2.468009e+02,1.192170e-10
1411695927.054096,1.130000e-09,4.354500e-01,2.620502e+02,1.230146e-10
1411695927.539112,1.140000e-09,4.444000e-01,2.602350e+02,1.266540e-10
1411695928.057468,1.150000e-09,4.377250e-01,2.567376e+02,1.258459e-10
1411695928.570160,1.160000e-09,4.469500e-01,2.623319e+02,1.296155e-10
1411695929.085439,1.170000e-09,4.482250e-01,2.627465e+02,1.311058e-10
1411695929.601476,1.180000e-09,4.439500e-01,2.613930e+02,1.309652e-10
1411695930.124819,1.190000e-09,4.425000e-01,2.591396e+02,1.316438e-10
1411695930.616352,1.200000e-09,4.395500e-01,2.576921e+02,1.318650e-10
1411695931.097926,1.210000e-09,4.377500e-01,2.566985e+02,1.324194e-10
1411695931.595994,1.220000e-09,4.359250e-01,2.555874e+02,1.329571e-10
1411695932.117435,1.230000e-09,4.363000e-01,2.558456e+02,1.341622e-10
1411695932.616799,1.240000e-09,4.364750e-01,2.556813e+02,1.353072e-10
1411695933.117220,1.250000e-09,4.380250e-01,2.571836e+02,1.368828e-10
1411695933.611921,1.260000e-09,4.379250e-01,2.572462e+02,1.379464e-10
1411695934.103449,1.270000e-09,4.385250e-01,2.572305e+02,1.392317e-10
1411695934.599653,1.280000e-09,4.397000e-01,2.576921e+02,1.407040e-10
1411695935.116958,1.290000e-09,4.391750e-01,2.575513e+02,1.416339e-10
1411695935.626221,1.300000e-09,4.391000e-01,2.573322e+02,1.427075e-10
1411695936.125021,1.310000e-09,4.391000e-01,2.569175e+02,1.438052e-10
1411695936.616166,1.320000e-09,4.392000e-01,2.573713e+02,1.449360e-10
1411695937.099191,1.330000e-09,4.392000e-01,2.574183e+02,1.460340e-10
1411695937.598599,1.340000e-09,4.396500e-01,2.576765e+02,1.472828e-10
1411695938.122482,1.350000e-09,4.395250e-01,2.573713e+02,1.483397e-10
1411695938.616863,1.360000e-09,4.397750e-01,2.576921e+02,1.495235e-10
1411695939.117101,1.370000e-09,4.404250e-01,2.576452e+02,1.508456e-10
1411695939.607046,1.380000e-09,4.410500e-01,2.577704e+02,1.521623e-10
1411695940.097233,1.390000e-09,4.416500e-01,2.577156e+02,1.534734e-10
1411695940.592948,1.400000e-09,4.412250e-01,2.576295e+02,1.544287e-10
1411695941.112715,1.410000e-09,4.413500e-01,2.580990e+02,1.555759e-10
1411695941.622010,1.420000e-09,4.407500e-01,2.572853e+02,1.564662e-10
